Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Starting WorkflowSim 1.1.0
planner_0 is starting...
planner_0_Merger_ is starting...
planner_0_Merger__Engine_0 is starting...
planner_0_Merger__Engine_0_Scheduler_0 is starting...
Entities started.
0.0: planner_0_Merger__Engine_0_Scheduler_0: Cloud Resource List received with 1 resource(s)
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #0 in Datacenter_0
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #1 in Datacenter_0
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #2 in Datacenter_0
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #0 has been created in Datacenter #2, Host #0
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #1 has been created in Datacenter #2, Host #1
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #2 has been created in Datacenter #2, Host #2
76308.27799999996: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #0
76308.27799999996: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #1
76308.27799999996: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #2
planner_0_Merger__Engine_0_Scheduler_0 is shutting down...
Simulation: No more future events
CloudInformationService: Notify all CloudSim entities for shutting down.
Datacenter_0 is shutting down...
planner_0 is shutting down...
planner_0_Merger_ is shutting down...
planner_0_Merger__Engine_0 is shutting down...
planner_0_Merger__Engine_0_Scheduler_0 is shutting down...
Simulation completed.
Simulation completed.

========== OUTPUT ==========
Job ID    Task ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Depth
    1000        Stage-in    SUCCESS        2            2            0.11        0.1            0.21            0
    187        188,    SUCCESS        2            2            1288.12        0.21            1288.34            1
    101        102,    SUCCESS        2            0            1295.84        0.21            1296.05            1
    206        207,    SUCCESS        2            0            1300.4        0.21            1300.61            1
    135        136,    SUCCESS        2            1            1305.26        0.21            1305.47            1
    199        200,    SUCCESS        2            2            1312.98        0.21            1313.19            1
    77        78,    SUCCESS        2            0            1316.26        0.21            1316.47            1
    86        87,    SUCCESS        2            0            1319.26        0.21            1319.47            1
    36        37,    SUCCESS        2            1            1320.31        0.21            1320.52            1
    196        197,    SUCCESS        2            2            1320.48        0.21            1320.69            1
    78        79,    SUCCESS        2            1            1321.8        0.21            1322.01            1
    221        222,    SUCCESS        2            0            1322.92        0.21            1323.13            1
    44        45,    SUCCESS        2            0            1323.07        0.21            1323.28            1
    116        117,    SUCCESS        2            0            1323.66        0.21            1323.87            1
    8        9,    SUCCESS        2            0            1325.82        0.21            1326.03            1
    87        88,    SUCCESS        2            1            1327.44        0.21            1327.65            1
    37        38,    SUCCESS        2            2            1328.24        0.21            1328.45            1
    131        132,    SUCCESS        2            0            1329.38        0.21            1329.59            1
    190        191,    SUCCESS        2            2            1332.64        0.21            1332.85            1
    217        218,    SUCCESS        2            2            1332.64        0.21            1332.85            1
    172        173,    SUCCESS        2            2            1335.6        0.21            1335.81            1
    143        144,    SUCCESS        2            0            1337.34        0.21            1337.55            1
    154        155,    SUCCESS        2            2            1337.79        0.21            1338            1
    88        89,    SUCCESS        2            2            1337.9        0.21            1338.11            1
