Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Starting WorkflowSim 1.1.0
planner_0 is starting...
planner_0_Merger_ is starting...
planner_0_Merger__Engine_0 is starting...
planner_0_Merger__Engine_0_Scheduler_0 is starting...
Entities started.
0.0: planner_0_Merger__Engine_0_Scheduler_0: Cloud Resource List received with 1 resource(s)
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #0 in Datacenter_0
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #1 in Datacenter_0
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #2 in Datacenter_0
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #0 has been created in Datacenter #2, Host #0
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #1 has been created in Datacenter #2, Host #1
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #2 has been created in Datacenter #2, Host #2
17742.252: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #0
17742.252: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #1
17742.252: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #2
planner_0_Merger__Engine_0_Scheduler_0 is shutting down...
Simulation: No more future events
CloudInformationService: Notify all CloudSim entities for shutting down.
Datacenter_0 is shutting down...
planner_0 is shutting down...
planner_0_Merger_ is shutting down...
planner_0_Merger__Engine_0 is shutting down...
planner_0_Merger__Engine_0_Scheduler_0 is shutting down...
Simulation completed.
Simulation completed.

========== OUTPUT ==========
Job ID    Task ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Depth
    47        Stage-in    SUCCESS        2            0            0.11        0.1            0.21            0
    1        2,    SUCCESS        2            2            28.6        0.21            28.81            1
    11        12,    SUCCESS        2            0            11.41        28.81            40.22            2
    8        9,    SUCCESS        2            0            14.44        28.81            43.25            2
    21        22,    SUCCESS        2            1            6.3        40.22            46.53            3
    9        10,    SUCCESS        2            1            21.35        28.81            50.16            2
    18        19,    SUCCESS        2            1            8.05        43.25            51.29            3
    10        11,    SUCCESS        2            2            26.16        28.81            54.98            2
    7        8,    SUCCESS        2            2            26.48        28.81            55.3            2
    20        21,    SUCCESS        2            0            3.11        54.98            58.09            3
    0        1,    SUCCESS        2            1            57.98        0.21            58.2            1
    19        20,    SUCCESS        2            2            9.4        50.16            59.56            3
    28        29,    SUCCESS        2            2            9.25        51.29            60.54            4
    17        18,    SUCCESS        2            0            5.49        55.3            60.79            3
    31        32,    SUCCESS        2            2            17.17        46.53            63.69            4
    29        30,    SUCCESS        2            0            10.84        59.56            70.41            4
    4        5,    SUCCESS        2            2            12.4        58.2            70.59            2
    27        28,    SUCCESS        2            1            12.62        60.79            73.41            4
    6        7,    SUCCESS        2            1            16.62        58.2            74.81            2
    30        31,    SUCCESS        2            1            19.63        58.09            77.72            4
    16        17,    SUCCESS        2            2            3.32        74.81            78.13            3
    14        15,    SUCCESS        2            0            9.85        70.59            80.45            3
    2        3,    SUCCESS        2            0            25.98        58.2            84.18            2
    5        6,    SUCCESS        2            0            27.32        58.2            85.52            2
    12        13,    SUCCESS        2            1            5.84        84.18            90.02            3
    26        27,    SUCCESS        2            0            12.5        78.13            90.63            4
    15        16,    SUCCESS        2            1            8.43        85.52            93.94            3
    24        25,    SUCCESS        2            1            14.63        80.45            95.08            4
    3        4,    SUCCESS        2            1            40.03        58.2            98.23            2
    22        23,    SUCCESS        2            2            15.16        90.02            105.17            4
    13        14,    SUCCESS        2            2            8.43        98.23            106.66            3
    25        26,    SUCCESS        2            2            15.66        93.94            109.6            4
    23        24,    SUCCESS        2            0            11.99        106.66            118.64            4
    39        40,    SUCCESS        2            1            6961.65        70.41            7032.05            5
    37        38,    SUCCESS        2            2            8103.1        73.41            8176.51            5
    34        35,    SUCCESS        2            2            10159.31        95.08            10254.39            5
    36        37,    SUCCESS        2            1            10847.39        90.63            10938.02            5
    33        34,    SUCCESS        2            1            11050.4        118.64            11169.04            5
    41        42,    SUCCESS        2            0            11774.08        63.69            11837.77            5
    40        41,    SUCCESS        2            2            12445.65        77.72            12523.37            5
    38        39,    SUCCESS        2            0            14277.67        60.54            14338.22            5
    43        44,    SUCCESS        2            2            15.04        14338.22            14353.26            6
    32        33,    SUCCESS        2            0            15821.56        105.17            15926.74            5
    35        36,    SUCCESS        2            0            15958.57        109.6            16068.16            5
    42        43,    SUCCESS        2            1            13.14        16068.16            16081.3            6
    44        45,    SUCCESS        2            0            25.59        16081.3            16106.89            7
    45        46,    SUCCESS        2            1            0.16        16106.89            16107.05            8
    46        47,    SUCCESS        2            2            1635.2        16107.05            17742.25            9

End Execution Time: 17742.25
