Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Starting WorkflowSim 1.1.0
planner_0 is starting...
planner_0_Merger_ is starting...
planner_0_Merger__Engine_0 is starting...
planner_0_Merger__Engine_0_Scheduler_0 is starting...
Entities started.
0.0: planner_0_Merger__Engine_0_Scheduler_0: Cloud Resource List received with 1 resource(s)
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #0 in Datacenter_0
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #1 in Datacenter_0
0.0: planner_0_Merger__Engine_0_Scheduler_0: Trying to Create VM #2 in Datacenter_0
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #0 has been created in Datacenter #2, Host #0
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #1 has been created in Datacenter #2, Host #1
0.1: planner_0_Merger__Engine_0_Scheduler_0: VM #2 has been created in Datacenter #2, Host #2
198.63600000000002: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #0
198.63600000000002: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #1
198.63600000000002: planner_0_Merger__Engine_0_Scheduler_0: Destroying VM #2
planner_0_Merger__Engine_0_Scheduler_0 is shutting down...
Simulation: No more future events
CloudInformationService: Notify all CloudSim entities for shutting down.
Datacenter_0 is shutting down...
planner_0 is shutting down...
planner_0_Merger_ is shutting down...
planner_0_Merger__Engine_0 is shutting down...
planner_0_Merger__Engine_0_Scheduler_0 is shutting down...
Simulation completed.
Simulation completed.

========== OUTPUT ==========
Job ID    Task ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Depth
    50        Stage-in    SUCCESS        2            0            0.11        0.1            0.21            0
    2        3,    SUCCESS        2            0            27.1        0.21            27.31            1
    5        6,    SUCCESS        2            0            27.2        0.21            27.41            1
    7        8,    SUCCESS        2            2            39.51        0.21            39.72            1
    4        5,    SUCCESS        2            2            40.29        0.21            40.5            1
    1        2,    SUCCESS        2            2            40.4        0.21            40.61            1
    0        1,    SUCCESS        2            1            44        0.21            44.21            1
    3        4,    SUCCESS        2            1            45.84        0.21            46.05            1
    6        7,    SUCCESS        2            1            48.46        0.21            48.67            1
    18        19,    SUCCESS        2            1            74.58        27.31            101.89            2
    34        35,    SUCCESS        2            2            84.08        39.72            123.8            2
    16        17,    SUCCESS        2            2            85.31        40.61            125.93            2
    28        29,    SUCCESS        2            2            86.22        40.61            126.84            2
    15        16,    SUCCESS        2            1            88.36        40.61            128.97            2
    24        25,    SUCCESS        2            1            87.98        44.21            132.19            2
    13        14,    SUCCESS        2            2            89.53        44.21            133.74            2
    27        28,    SUCCESS        2            1            89.64        44.21            133.85            2
    12        13,    SUCCESS        2            1            89.75        44.21            133.96            2
    21        22,    SUCCESS        2            1            88.02        46.05            134.07            2
    19        20,    SUCCESS        2            2            88.13        46.05            134.18            2
    10        11,    SUCCESS        2            2            90.08        44.21            134.29            2
    9        10,    SUCCESS        2            1            90.19        44.21            134.4            2
    33        34,    SUCCESS        2            1            88.57        46.05            134.63            2
    25        26,    SUCCESS        2            2            88.75        46.05            134.81            2
    30        31,    SUCCESS        2            1            86.3        48.67            134.97            2
    22        23,    SUCCESS        2            2            89.03        46.05            135.08            2
    31        32,    SUCCESS        2            2            86.77        48.67            135.44            2
    35        36,    SUCCESS        2            0            97.38        39.72            137.1            2
    32        33,    SUCCESS        2            0            98.55        39.72            138.27            2
    26        27,    SUCCESS        2            0            98.66        40.5            139.16            2
    14        15,    SUCCESS        2            0            100.83        40.61            141.44            2
    17        18,    SUCCESS        2            0            100.94        40.61            141.55            2
    8        9,    SUCCESS        2            0            100.6        44.21            144.81            2
    23        24,    SUCCESS        2            0            99.63        46.05            145.68            2
    29        30,    SUCCESS        2            0            99.81        46.05            145.86            2
    20        21,    SUCCESS        2            0            99.92        46.05            145.97            2
    11        12,    SUCCESS        2            0            100.03        46.05            146.08            2
    36        37,    SUCCESS        2            1            2.24        146.08            148.32            3
    37        38,    SUCCESS        2            2            4.2        148.32            152.52            4
    40        41,    SUCCESS        2            2            20.94        152.52            173.46            5
    43        44,    SUCCESS        2            2            20.98        152.52            173.5            5
    45        46,    SUCCESS        2            1            31.26        152.52            183.78            5
    41        42,    SUCCESS        2            0            31.59        152.52            184.11            5
    44        45,    SUCCESS        2            0            31.62        152.52            184.14            5
    39        40,    SUCCESS        2            1            31.74        152.52            184.26            5
    42        43,    SUCCESS        2            1            31.85        152.52            184.37            5
    38        39,    SUCCESS        2            0            32.06        152.52            184.59            5
    46        47,    SUCCESS        2            2            3.2        184.59            187.79            6
    47        48,    SUCCESS        2            0            4.75        187.79            192.54            7
    48        49,    SUCCESS        2            1            4.88        192.54            197.42            8
    49        50,    SUCCESS        2            2            1.22        197.42            198.64            9

End Execution Time: 198.64
